key,term
oop.debates_CDC1001_05,"1,9,249,250"
oop.debates_HOC3202,"5,12,333,638"
oop.debates_SOC0903,"5,6,32,33"
oop.debates_HOC1202_05,"5,12,370,498"
oop.debates_CDC1206_20,"1,9,308,406"
oop.debates_SDC1301,"1,2,454,455"
oop.debates_HOC2801_08,"5,12,245,246"
oop.debates_HOC2802_08,"5,12,245,585"
oop.debates_CDC1203_03,"1,9,308,622"
oop.debates_SOC1303_01,"5,6,233,544"
oop.debates_CDC1302,"1,9,372,613"
oop.debates_CDC2105_01,"1,9,299,300"
oop.debates_CDC2107_02,"1,9,299,612"
oop.debates_SOC0902_01,"5,6,32,208"
oop.debates_HOC1401_02,"5,12,256,590"
oop.debates_HOC1205_20,"5,12,370,371"
oop.debates_CDC1002_20,"1,9,249,335"
oop.debates_HOC1404_20,"5,12,256,332"
oop.debates_CDC3004_01,"1,9,396,519"
oop.debates_SDC2803,"1,2,269,516"
oop.debates_SOC2201,"5,6,266,591"
oop.debates_CDC2701_10,"1,9,284,320"
oop.debates_SDC0201_01,"1,2,87,201"
oop.debates_HOC0504_01,"5,12,19,20"
oop.debates_CDC2701_12,"1,9,284,320"
oop.debates_SOC0805,"5,6,34,123"
oop.debates_SDC1004_02,"1,2,422,423"
oop.debates_CDC0602_02,"1,9,67,68"
oop.debates_HOC2603_02,"5,12,295,339"
oop.debates_HOC2403_04,"5,12,310,577"
oop.debates_HOC1802_01,"5,12,288,564"
oop.debates_SDC0902,"1,2,56,210"
oop.debates_SOC1603,"5,6,485,634"
oop.debates_HOC1101_04,"5,12,458,459"
oop.debates_HOC3501_13,"5,12,93,94"
oop.debates_CDC1004_07,"1,9,249,436"
oop.debates_HOC1701_20,"5,12,261,573"
oop.debates_HOC3302_20,"5,12,358,359"
oop.debates_SOC1003_01,"5,6,297,317"
oop.debates_SOC0201,"5,6,174,197"
oop.debates_CDC2801,"1,9,380,428"
oop.debates_SOC3001_03,"5,6,290,291"
oop.debates_SDC3402_03,"1,2,193,226"
oop.debates_HOC0305,"5,12,13,139"
oop.debates_CDC2403_07,"1,9,251,647"
oop.debates_HOC1706_02,"5,12,261,570"
oop.debates_SDC1205_01,"1,2,279,382"
oop.debates_HOC2202,"5,12,247,263"
oop.debates_HOC3201_02,"5,12,333,334"
oop.debates_HOC2702_07,"5,12,384,385"
oop.debates_CDC3201_24,"1,9,491,521"
oop.debates_HOC3002,"5,12,349,576"
oop.debates_HOC0804,"5,12,21,98"
oop.debates_SOC1801,"5,6,548,566"
oop.debates_HOC1206_20,"5,12,370,515"
oop.debates_HOC2803_06,"5,12,245,624"
oop.debates_CDC1903_04,"1,9,347,531"
oop.debates_HOC1702_04,"5,12,261,653"
oop.debates_SOC2004,"5,6,277,433"
oop.debates_SOC0401,"5,6,73,203"
oop.debates_HOC3201_09,"5,12,333,334"
oop.debates_CDC2901_20,"1,9,275,276"
oop.debates_SOC0901_01,"5,6,32,213"
oop.debates_HOC2403_06,"5,12,310,577"
oop.debates_CDC0404,"1,9,44,45"
oop.debates_CDC0305_02,"1,9,10,76"
oop.debates_CDC2003_04,"1,9,504,505"
oop.debates_HOC1101,"5,12,458,459"
oop.debates_HOC2802_01,"5,12,245,585"
oop.debates_SDC2403,"1,2,235,331"
oop.debates_HOC1403_01,"5,12,256,257"
oop.debates_CDC3003_04,"1,9,396,535"
oop.debates_HOC3401_01,"5,12,15,83"
oop.debates_CDC1207_02,"1,9,308,629"
oop.debates_CDC3101_01,"1,9,552,553"
oop.debates_SDC0904,"1,2,56,57"
oop.debates_SOC1705,"5,6,354,618"
oop.debates_HOC0103,"5,12,51,52"
oop.debates_HOC0701_02,"5,12,70,135"
oop.debates_HOC0902_01,"5,12,117,118"
oop.debates_SOC3004,"5,6,290,569"
oop.debates_HOC1703_03,"5,12,261,668"
oop.debates_HOC3004_03,"5,12,349,350"
oop.debates_HOC2405,"5,12,310,325"
oop.debates_HOC0304,"5,12,13,62"
oop.debates_SOC3501,"5,6,222,225"
oop.debates_SOC1702_01,"5,6,354,633"
